"areaId","N1","w_total","Peri","Malabo","Baney","Luba","Riaba","Moka","Ureka","N2.ti_mal","N2.ti_ban","N2.ti_lub","N2.ti_ria","N2.ti_mok","N2.ti_ure","N2.to","t.ti_mal","t.ti_ban","t.ti_lub","t.ti_ria","t.ti_mok","t.ti_ure","t.to","t_mal","dest"
207,59,8,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,15.0111281713333,30.4266898172973,79.1900856594737,83.7244521134615,100.186619448,130.6225908,155.011128171333,15.0111281713333,"ti_ria"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
211,245,19,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,8.68765897749425,23.3147522806757,73.2654595602632,77.0970411642308,94.26199335,124.6979647,148.687658977494,8.68765897749425,"to"
