"w","N1","N2","d","t"
0,123,6434,37211.0960552921,73.9990400089474
0,123,2187,36086.0216199296,75.5089751969231
0,123,680,44849.6579977925,94.99557382
0,123,64,57554.6631393225,125.4315452
66,1881,1071785,238656.752387743,148.553540584713
0,1881,27025,8966.61787337463,21.2507011619459
0,1881,189560,2232.32962565056,8.55354058471264
1,1881,6434,37752.748672893,75.3970961431579
2,1881,2187,36058.4659689255,75.9670870919231
0,1881,680,45073.4892905329,96.393629938
0,1881,64,57874.4657383773,126.8296013
369,11234,1071785,237770.270997679,148.701883473057
4,11234,27025,8006.67043470793,20.6952795713513
1,11234,189560,1263.26936618486,8.70188347305747
11,11234,6434,38312.7842882296,75.9525177302632
4,11234,2187,36058.5654659244,75.5575132576923
1,11234,680,45318.2342972955,96.949051532
0,11234,64,58209.6541819772,127.3850229
382,19485,1071785,237305.767119752,148.077388316115
88,19485,27025,7057.46344181781,19.4872315817838
0,19485,189560,450.375833369167,8.07738831611494
95,19485,6434,38890.408639287,75.4693802207895
19,19485,2187,36086.3198279446,74.3967198046154
11,19485,680,45583.5560854166,96.465914028
0,19485,64,58559.9642052362,126.9018854
391,17457,1071785,237868.294781573,148.649403246345
29,17457,27025,6123.99268675704,18.3763988966216
2,17457,189560,896.804576067461,8.64940324634483
34,17457,6434,39484.8499632596,76.5802129092105
15,17457,2187,36141.6653992298,73.3137193561538
1,17457,680,45869.0976967414,97.576746718
0,17457,64,58925.1262469815,128.0127181
267,15012,1071785,238770.093455766,149.226870768483
21,15012,27025,5214.71556472788,16.1547335776757
2,15012,189560,1843.93759352773,9.22687076848276
21,15012,6434,40095.360057581,77.5249854021053
8,15012,2187,36224.4755538329,71.0920540403846
1,15012,680,46174.4838258111,98.521519214
0,15012,64,59304.8657645923,128.9574906
88,6008,1071785,239731.089170681,149.488392777828
10,6008,27025,4344.84758522676,15.6167271715946
21,6008,189560,2826.72558005902,9.48839277782759
14,6008,6434,40721.216273981,77.7557887442105
4,6008,2187,36334.5624754134,70.5366376961538
1,6008,680,46499.3235070906,98.752322538
0,6008,64,59698.9046256859,129.1882939
73,3051,1071785,240710.025772108,150.013959950713
2,3051,27025,3543.53083393834,15.1125825137568
14,3051,189560,3817.73096583847,10.0139599507126
4,3051,6434,41361.7219733013,78.3112050892105
2,3051,2187,36471.679208914,69.9812213538462
1,3051,680,46843.2120595932,99.307738886
0,3051,64,60106.9616317391,129.7437102
8,313,1071785,241696.587690172,150.569376293839
0,313,27025,2868.795073847,14.7154003589189
5,313,189560,4811.87903701462,10.5693762938391
0,313,6434,42016.2072228948,78.8666214244737
0,313,2187,36635.5222285299,69.4258050130769
0,313,680,47205.7331774039,99.86315523
0,313,64,60528.7532848903,130.2991266
27,572,1071785,244703.546943389,148.039885995356
0,572,27025,14710.3343031184,23.3411117818649
0,572,189560,8208.29672043335,8.03988599535632
2,572,6434,33911.0043355258,70.9720618894737
0,572,2187,35656.334302464,76.0431586669231
0,572,680,43065.7661927649,91.968595686
0,572,64,55228.5057670837,122.404567
18,204,1071785,243730.29594934,147.395744243402
0,204,27025,13716.1653548356,22.3691240245405
0,204,189560,7212.61618636953,7.3957442434023
0,204,6434,34359.6516469613,70.9613030971052
0,204,2187,35488.1700884403,75.5944484603846
1,204,680,43183.4619409465,91.957836912
0,204,64,55471.840380025,122.3938083
8,142,1071785,240881.113717681,147.187879875069
0,142,27025,10738.6279349272,20.702859252
0,142,189560,4233.88660507601,7.18787987506897
0,142,6434,35839.1474085049,72.62756787
0,142,2187,35149.5317003374,75.0483116026923
1,142,680,43671.924430011,93.624101654
0,142,64,56301.9547464576,124.060073
60,1236,1071785,239987.980601381,147.170219434126
1,1236,27025,9748.61442138761,20.1474376614054
0,1236,189560,3247.98286320494,7.17021943412644
0,1236,6434,36373.812512347,73.1829894594737
0,1236,2187,35092.8258296719,74.6929246426923
0,1236,680,43879.032857641,94.179523248
0,1236,64,56611.213954145,124.6154946
11,136,1071785,239173.397272371,147.252094936851
0,136,27025,8760.55638960365,19.5920160711622
0,136,189560,2273.20325251571,7.25209493685057
0,136,6434,36927.7544882098,73.738411051579
0,136,2187,35064.4900004733,74.3084020061538
0,136,680,44107.7929245732,94.734944842
0,136,64,56936.3198950282,125.1709162
263,6916,1071785,238538.705176839,147.396502652977
4,6916,27025,7775.19902033164,19.0365944805405
2,6916,189560,1334.15600986779,7.39650265297701
24,6916,6434,37500.1191704255,74.2938326434211
3,6916,2187,35064.5930320179,73.8988281642308
2,6916,680,44357.869725174,95.290366438
0,6916,64,57277.0028220366,125.7263378
369,13462,1071785,238298.354734906,147.875028218172
31,13462,27025,6793.71731610879,18.8730186675135
1,13462,189560,622.05067126411,7.87502821817241
25,13462,6434,38090.0758081937,75.1269650239474
18,13462,2187,35093.1344182403,73.8166903180769
5,13462,680,44628.9046571989,96.12349883
0,13462,64,57632.9862434862,126.5594702
319,15397,1071785,238599.517036631,148.595037384023
90,15397,27025,5818.07261438063,18.513517310973
5,15397,189560,994.169541977185,8.59503738402299
44,15397,6434,38696.8199743343,76.3766635836842
6,15397,2187,35150.0450312123,73.4755166296154
10,15397,680,44920.5185338321,97.37319736
1,15397,64,58003.9886391058,127.8091687
96,4531,1071785,239264.904096578,148.927251357184
7,4531,27025,4851.78707817209,16.3583367666486
0,4531,189560,1893.21073519691,8.92725135718391
25,4531,6434,39319.5744031492,76.9720903539474
3,4531,2187,35235.1872575866,71.3203360823077
0,4531,680,45232.3132033132,97.968624146
1,4531,64,58389.7235996328,128.4045955
30,481,1071785,240092.535346709,149.368663693552
5,481,27025,3901.8198418899,15.8116934639189
3,481,189560,2859.11959471165,9.36866369355173
3,481,6434,39957.590478161,77.5275119457895
0,481,2187,35348.3570456922,70.7649197426923
0,481,680,45563.8743349858,98.52404574
0,481,64,58789.9011031665,128.9600171
84,3320,1071785,240991.746718285,151.034695845115
1,3320,27025,2983.79706931724,16.5433106120811
42,3320,189560,3841.78667998437,11.0346958451149
5,3320,6434,40610.1489775139,79.1937766631579
0,3320,2187,35489.2862501764,71.6399064453846
5,3320,680,45914.7737492726,100.19031045
0,3320,64,59204.2283411229,130.6262818
17,574,1071785,241926.44873779,151.18950753392
0,574,27025,2139.24690648232,15.0772417355946
4,574,189560,4830.99592171399,11.1895075339195
0,574,6434,41276.5600274614,79.4867526726315
0,574,2187,35657.6457429269,69.9165274461538
0,574,680,46284.5715700754,100.483286454
0,574,64,59632.4103153322,130.9192578
0,70,1071785,243847.130532488,152.300340220057
0,70,27025,1380.75385870627,14.0991409877838
4,70,189560,6817.64031760593,12.3003402200575
0,70,6434,42648.328963327,80.5975853560526
0,70,2187,36075.0564435996,67.6948410819231
0,70,680,47079.0581730658,101.594119146
0,70,64,60529.1527491136,132.0300905
2,25,1071785,246879.910750261,167.371400503333
0,25,27025,16650.0615882522,45.0153396954054
0,25,189560,10306.7814750758,27.3714005033333
0,25,6434,32172.113549422,85.1161581252632
0,25,2187,35107.9750072083,92.4273814434615
1,25,680,41907.0006790257,106.11269193
0,25,64,53819.7374248714,136.5486633
2,95,1071785,244968.969895798,147.974723632471
0,95,27025,14653.2867596248,23.7406025386486
0,95,189560,8338.90242062788,7.97472363247126
0,95,6434,33019.9817041956,69.5898245836842
0,95,2187,34679.3333550826,75.3026296926923
0,95,680,42077.4674815124,90.586358382
0,95,64,54262.8102210168,121.0223297
12,301,1071785,243109.996361168,147.854900208816
0,301,27025,12656.6702477495,22.6297593568378
0,301,189560,6389.27789560675,7.85490020881609
0,301,6434,33964.3035470668,71.8115527894737
0,301,2187,34361.65511869,76.1045360211538
1,301,680,42341.6027729024,92.808086586
0,301,64,54775.2073053633,123.2440579
0,34,1071785,242216.18476851,148.703508594678
0,34,27025,11658.4463654176,22.9169656203243
0,34,189560,5427.46825168906,8.70350859467816
0,34,6434,34470.1888284756,73.730831055
0,34,2187,34245.4342386918,77.0141359976923
0,34,680,42508.2744363757,94.727364846
0,34,64,55056.8076523989,125.1633362
4,93,1071785,241364.133695105,148.667849626977
2,93,27025,10660.2993586349,22.3615440286757
0,93,189560,4481.79018294949,8.66784962697701
0,93,6434,34997.2716113008,74.2862526465789
0,93,2187,34158.0358616072,76.70699638
0,93,680,42697.667782279,95.28278644
0,93,64,55355.003229728,125.7187578
16,2729,1071785,240580.708179882,147.865109299379
30,2729,27025,9662.25282680022,20.9634945841892
0,2729,189560,3565.10354831669,7.86510929937931
19,2729,6434,35544.608684308,73.9990463842105
1,2729,2187,34099.681345063,75.5089815726923
6,2729,680,42909.4817015852,94.995580182
0,2729,64,55669.5271322708,125.4315515
67,3833,1071785,239914.83543401,148.592268228563
6,3833,27025,8664.34135203011,20.474599703973
1,3833,189560,2707.0219305442,8.59226822856322
