areaID,row,col,x,y,pop,pfpr,h,z,lambda
222,2,91,33.354105975,4.145809642,,,,,
223,2,92,33.395772625,4.145809642,,,,,
224,2,93,33.437439275,4.145809642,,,,,
225,2,94,33.479105925,4.145809642,,,,,
226,2,95,33.520772575,4.145809642,,,,,
227,2,96,33.562439225,4.145809642,,,,,
228,2,97,33.604105875,4.145809642,,,,,
229,2,98,33.645772525,4.145809642,,,,,
230,2,99,33.687439175,4.145809642,,,,,
231,2,100,33.729105825,4.145809642,,,,,
232,2,101,33.770772475,4.145809642,,,,,
233,2,102,33.812439125,4.145809642,,,,,
234,2,103,33.854105775,4.145809642,,,,,
235,2,104,33.895772425,4.145809642,,,,,
236,2,105,33.937439075,4.145809642,,0.377053105458617,0.00302636636254689,0.0421306572314886,
237,2,106,33.979105725,4.145809642,,0.338005254045129,0.0025529300354007,0.0382461616464423,
238,2,107,34.020772375,4.145809642,77.3652038574219,0.422860585898161,0.00366341801968445,0.0465654811076992,4.5540636271191
239,2,108,34.062439025,4.145809642,,,,,
240,2,109,34.104105675,4.145809642,,,,,
241,2,110,34.145772325,4.145809642,,,,,
242,2,111,34.187438975,4.145809642,,,,,
243,2,112,34.229105625,4.145809642,,,,,
244,2,113,34.270772275,4.145809642,,,,,
245,2,114,34.312438925,4.145809642,,,,,
246,2,115,34.354105575,4.145809642,,,,,
247,2,116,34.395772225,4.145809642,,,,,
248,2,117,34.437438875,4.145809642,,,,,
249,2,118,34.479105525,4.145809642,,,,,
250,2,119,34.520772175,4.145809642,,,,,
251,2,120,34.562438825,4.145809642,,,,,
252,2,121,34.604105475,4.145809642,,,,,
253,2,122,34.645772125,4.145809642,,,,,
254,2,123,34.687438775,4.145809642,,,,,
255,2,124,34.729105425,4.145809642,,,,,
256,2,125,34.770772075,4.145809642,,,,,
257,2,126,34.812438725,4.145809642,,,,,
258,2,127,34.854105375,4.145809642,,,,,
259,2,128,34.895772025,4.145809642,,,,,
260,2,129,34.937438675,4.145809642,,,,,
261,2,130,34.979105325,4.145809642,,,,,
262,2,131,35.020771975,4.145809642,,,,,
263,3,1,29.604107475,4.104142992,,,,,
264,3,2,29.645774125,4.104142992,,,,,
265,3,3,29.687440775,4.104142992,,,,,
266,3,4,29.729107425,4.104142992,,,,,
267,3,5,29.770774075,4.104142992,,,,,
268,3,6,29.812440725,4.104142992,,,,,
269,3,7,29.854107375,4.104142992,,,,,
270,3,8,29.895774025,4.104142992,,,,,
271,3,9,29.937440675,4.104142992,,,,,
272,3,10,29.979107325,4.104142992,,,,,
273,3,11,30.020773975,4.104142992,,,,,
274,3,12,30.062440625,4.104142992,,,,,
275,3,13,30.104107275,4.104142992,,,,,
276,3,14,30.145773925,4.104142992,,,,,
277,3,15,30.187440575,4.104142992,,,,,
278,3,16,30.229107225,4.104142992,,,,,
279,3,17,30.270773875,4.104142992,,,,,
280,3,18,30.312440525,4.104142992,,,,,
281,3,19,30.354107175,4.104142992,,,,,
282,3,20,30.395773825,4.104142992,,,,,
283,3,21,30.437440475,4.104142992,,,,,
284,3,22,30.479107125,4.104142992,,,,,
285,3,23,30.520773775,4.104142992,,,,,
286,3,24,30.562440425,4.104142992,,,,,
287,3,25,30.604107075,4.104142992,,,,,
288,3,26,30.645773725,4.104142992,,,,,
289,3,27,30.687440375,4.104142992,,,,,
290,3,28,30.729107025,4.104142992,,,,,
291,3,29,30.770773675,4.104142992,,,,,
292,3,30,30.812440325,4.104142992,,,,,
293,3,31,30.854106975,4.104142992,,,,,
294,3,32,30.895773625,4.104142992,,,,,
295,3,33,30.937440275,4.104142992,,,,,
296,3,34,30.979106925,4.104142992,,,,,
297,3,35,31.020773575,4.104142992,,,,,
298,3,36,31.062440225,4.104142992,,,,,
299,3,37,31.104106875,4.104142992,,,,,
300,3,38,31.145773525,4.104142992,,,,,
301,3,39,31.187440175,4.104142992,,,,,
302,3,40,31.229106825,4.104142992,,,,,
303,3,41,31.270773475,4.104142992,,,,,
304,3,42,31.312440125,4.104142992,,,,,
305,3,43,31.354106775,4.104142992,,,,,
306,3,44,31.395773425,4.104142992,,,,,
307,3,45,31.437440075,4.104142992,,,,,
308,3,46,31.479106725,4.104142992,,,,,
309,3,47,31.520773375,4.104142992,,,,,
310,3,48,31.562440025,4.104142992,,,,,
311,3,49,31.604106675,4.104142992,,,,,
312,3,50,31.645773325,4.104142992,,,,,
313,3,51,31.687439975,4.104142992,,,,,
314,3,52,31.729106625,4.104142992,,,,,
315,3,53,31.770773275,4.104142992,,,,,
316,3,54,31.812439925,4.104142992,,,,,
317,3,55,31.854106575,4.104142992,,,,,
318,3,56,31.895773225,4.104142992,,,,,
319,3,57,31.937439875,4.104142992,,,,,
320,3,58,31.979106525,4.104142992,,,,,
321,3,59,32.020773175,4.104142992,,,,,
322,3,60,32.062439825,4.104142992,,,,,
323,3,61,32.104106475,4.104142992,,,,,
324,3,62,32.145773125,4.104142992,,,,,
325,3,63,32.187439775,4.104142992,,,,,
326,3,64,32.229106425,4.104142992,,,,,
327,3,65,32.270773075,4.104142992,,,,,
328,3,66,32.312439725,4.104142992,,,,,
