"areaId","dest","w","N1","N2","d","t"
387,"ti_ure",0,204,64,55471.840380025,122.3938083
390,"to",8,142,1071785,240881.113717681,147.187879875069
390,"ti_ban",0,142,27025,10738.6279349272,20.702859252
390,"ti_mal",0,142,189560,4233.88660507601,7.18787987506897
390,"ti_lub",0,142,6434,35839.1474085049,72.62756787
390,"ti_ria",0,142,2187,35149.5317003374,75.0483116026923
390,"ti_mok",1,142,680,43671.924430011,93.624101654
390,"ti_ure",0,142,64,56301.9547464576,124.060073
391,"to",60,1236,1071785,239987.980601381,147.170219434126
391,"ti_ban",1,1236,27025,9748.61442138761,20.1474376614054
391,"ti_mal",0,1236,189560,3247.98286320494,7.17021943412644
391,"ti_lub",0,1236,6434,36373.812512347,73.1829894594737
391,"ti_ria",0,1236,2187,35092.8258296719,74.6929246426923
391,"ti_mok",0,1236,680,43879.032857641,94.179523248
391,"ti_ure",0,1236,64,56611.213954145,124.6154946
392,"to",11,136,1071785,239173.397272371,147.252094936851
392,"ti_ban",0,136,27025,8760.55638960365,19.5920160711622
392,"ti_mal",0,136,189560,2273.20325251571,7.25209493685057
392,"ti_lub",0,136,6434,36927.7544882098,73.738411051579
392,"ti_ria",0,136,2187,35064.4900004733,74.3084020061538
392,"ti_mok",0,136,680,44107.7929245732,94.734944842
392,"ti_ure",0,136,64,56936.3198950282,125.1709162
393,"to",263,6916,1071785,238538.705176839,147.396502652977
393,"ti_ban",4,6916,27025,7775.19902033164,19.0365944805405
393,"ti_mal",2,6916,189560,1334.15600986779,7.39650265297701
393,"ti_lub",24,6916,6434,37500.1191704255,74.2938326434211
393,"ti_ria",3,6916,2187,35064.5930320179,73.8988281642308
393,"ti_mok",2,6916,680,44357.869725174,95.290366438
393,"ti_ure",0,6916,64,57277.0028220366,125.7263378
394,"to",369,13462,1071785,238298.354734906,147.875028218172
394,"ti_ban",31,13462,27025,6793.71731610879,18.8730186675135
394,"ti_mal",1,13462,189560,622.05067126411,7.87502821817241
394,"ti_lub",25,13462,6434,38090.0758081937,75.1269650239474
394,"ti_ria",18,13462,2187,35093.1344182403,73.8166903180769
394,"ti_mok",5,13462,680,44628.9046571989,96.12349883
394,"ti_ure",0,13462,64,57632.9862434862,126.5594702
395,"to",319,15397,1071785,238599.517036631,148.595037384023
395,"ti_ban",90,15397,27025,5818.07261438063,18.513517310973
395,"ti_mal",5,15397,189560,994.169541977185,8.59503738402299
395,"ti_lub",44,15397,6434,38696.8199743343,76.3766635836842
