"admin2","admin4Id","areaId","ad4.X","ad4.Y","w","ad2.X","ad2.Y","aid.X","aid.Y","d2","d1","aid.pop","ad4.pop","ad2.pop"
"Malabo","L003",2252,476470.353122295,414505.763294971,10,474656.387942084,413489.949758617,444955.6301,381222.7701,45835.961898802,43855.5116207255,597,1907,197050
"Malabo","L003",2918,476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,461933.8505,370280.4836,46553.0372004491,45043.5447614628,306,1907,197050
"Malabo","L003",395,476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,475930.3186,413021.3464,1579.59830442596,1357.38293376808,15624,1907,197050
"Malabo","L003",2400,476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,474923.3797,379223.2923,35316.3685318898,34267.6975880345,69,1907,197050
"Malabo","L003",2635,476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,473923.4631,375247.2734,39341.0177501702,38249.6990039669,40,1907,197050
"Malabo","L003",336,476470.353122295,414505.763294971,7,474656.387942084,413489.949758617,475930.564,414015.4171,729.254199487413,1378.27448406548,16076,1907,197050
"Malabo","L003",511,476470.353122295,414505.763294971,1,474656.387942084,413489.949758617,473932.5594,411033.7161,4300.64049892843,2560.66623050693,2115,1907,197050
"Malabo","L003",339,476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,478926.3735,414014.7227,2504.62711029286,4302.11149376872,4125,1907,197050
"Malabo","L003",394,476470.353122295,414505.763294971,2,474656.387942084,413489.949758617,474931.7041,413021.5977,2137.7998800411,543.279520707583,12493,1907,197050
"Malabo","L005",220,462639.482112587,407404.141045738,1,474656.387942084,413489.949758617,477928.2225,416003.0837,17541.0204208591,4125.62038749364,2770,123,197050
"Malabo","L005",278,462639.482112587,407404.141045738,1,474656.387942084,413489.949758617,476929.4035,415009.2457,16187.6332445704,2734.01899847646,11420,123,197050
"Malabo","L005",2252,462639.482112587,407404.141045738,2,474656.387942084,413489.949758617,444955.6301,381222.7701,31594.0311863079,43855.5116207255,597,123,197050
"Malabo","L005",1027,462639.482112587,407404.141045738,1,474656.387942084,413489.949758617,458949.2345,402092.0951,6468.05686213666,19406.8482776605,50,123,197050
"Malabo","L005",337,462639.482112587,407404.141045738,2,474656.387942084,413489.949758617,476929.1677,414015.1754,15744.8686695173,2332.67867533397,13708,123,197050
"Malabo","L007",1815,475254.537150758,414164.336905196,2,474656.387942084,413489.949758617,479920.0063,389162.859,25433.0591912682,24890.0185414912,98,332,197050
"Malabo","L007",335,475254.537150758,414164.336905196,1,474656.387942084,413489.949758617,474931.9596,414015.669,355.187869005586,593.565884638585,16625,332,197050
"Malabo","L008",512,474512.007743864,415059.193470738,1,474656.387942084,413489.949758617,474931.1948,411033.4558,4047.50312929204,2471.81742405851,3657,417,197050
"Malabo","L008",338,474512.007743864,415059.193470738,1,474656.387942084,413489.949758617,477927.7709,414014.9439,3571.81957898195,3313.2409066997,6229,417,197050
