"admin4Id","areaId","admin2","ad4.X","ad4.Y","w","ad2.X","ad2.Y","ad2.pop","aid.pop","aid.X","aid.Y","d2","d1","ad4.pop"
"L241",2919,"Malabo",475605.211893594,413695.999754286,2,474656.387942084,413489.949758617,189560,218,462932.8897,370280.139,45227.4774314666,44771.9572592894,4821.90098829046
"L241",395,"Malabo",475605.211893594,413695.999754286,1,474656.387942084,413489.949758617,189560,15397,475930.3186,413021.3464,748.900206302436,1357.38293376808,4821.90098829046
"L241",508,"Malabo",475605.211893594,413695.999754286,1,474656.387942084,413489.949758617,189560,486,470936.6492,411034.5579,5373.89526951946,4457.06242818349,4821.90098829046
"L241",2144,"Malabo",475605.211893594,413695.999754286,1,474656.387942084,413489.949758617,189560,101,454945.9884,383206.2086,36829.7553615314,36133.1541478281,4821.90098829046
"L241",1321,"Malabo",475605.211893594,413695.999754286,1,474656.387942084,413489.949758617,189560,246,457948.4245,397122.0967,24216.8619667259,23389.3705800413,4821.90098829046
"L247",279,"Malabo",477038.430455791,414938.829485107,8,474656.387942084,413489.949758617,189560,10886,477927.9965,415009.0137,892.330415838437,3607.07330314175,3742.29525471562
"L247",283,"Malabo",477038.430455791,414938.829485107,2,474656.387942084,413489.949758617,189560,53,481922.3631,415008.1883,4884.42511646736,7422.89992280579,3742.29525471562
"L247",219,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,3185,476929.6398,416003.3162,1070.03148223345,3388.9061477397,3742.29525471562
"L247",395,"Malabo",477038.430455791,414938.829485107,2,474656.387942084,413489.949758617,189560,15397,475930.3186,413021.3464,2214.64517849157,1357.38293376808,3742.29525471562
"L247",2400,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,62,474923.3797,379223.2923,35778.1083362486,34267.6975880345,3742.29525471562
"L247",734,"Malabo",477038.430455791,414938.829485107,2,474656.387942084,413489.949758617,189560,37,460948.6565,407061.6996,17914.5192839576,15140.1552630765,3742.29525471562
"L247",2087,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,16,456944.2457,384199.4526,36724.4544177923,34229.4201908646,3742.29525471562
"L247",564,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,294,467940.4081,410041.4158,10332.4087989946,7549.62063305276,3742.29525471562
"L247",1790,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,6,454948.5617,389170.7068,33940.5133780087,31302.1403943632,3742.29525471562
"L247",2919,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,218,462932.8897,370280.139,46833.3739533879,44771.9572592894,3742.29525471562
"L247",2252,"Malabo",477038.430455791,414938.829485107,3,474656.387942084,413489.949758617,189560,602,444955.6301,381222.7701,46541.1510292729,43855.5116207255,3742.29525471562
"L247",2512,"Malabo",477038.430455791,414938.829485107,3,474656.387942084,413489.949758617,189560,104,468929.1098,377236.7376,38564.3464097539,36702.8215091768,3742.29525471562
"L247",451,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,3833,472934.1979,412028.0587,5031.63109095302,2258.99623911113,3742.29525471562
"L247",396,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,4531,476928.9325,413021.1053,1920.84769111641,2320.40382133982,3742.29525471562
"L247",278,"Malabo",477038.430455791,414938.829485107,4,474656.387942084,413489.949758617,189560,13054,476929.4035,415009.2457,129.789523494056,2734.01899847646,3742.29525471562
"L247",454,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,3624,475930.0738,412027.2759,3115.38099682618,1939.50779357447,3742.29525471562
"L247",335,"Malabo",477038.430455791,414938.829485107,3,474656.387942084,413489.949758617,189560,19485,474931.9596,414015.669,2299.87928977995,593.565884638585,3742.29525471562
"L247",337,"Malabo",477038.430455791,414938.829485107,2,474656.387942084,413489.949758617,189560,15012,476929.1677,414015.1754,930.094198851973,2332.67867533397,3742.29525471562
"L247",277,"Malabo",477038.430455791,414938.829485107,1,474656.387942084,413489.949758617,189560,11034,475930.81,415009.488,1109.87192946428,1983.21659148156,3742.29525471562
"L260",2919,"Luba",453986.094083561,359507.256319282,1,454405.650260343,382376.876239581,7178,218,462932.8897,370280.139,14003.5764379979,14800.1643337063,9.90909090909091
"L263",278,"Malabo",476077.069302354,415744.884840362,2,474656.387942084,413489.949758617,189560,13054,476929.4035,415009.2457,1125.89454626501,2734.01899847646,4745.3861273658
"L263",394,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,13462,474931.7041,413021.5977,2954.34498588509,543.279520707583,4745.3861273658
"L263",447,"Malabo",476077.069302354,415744.884840362,17,474656.387942084,413489.949758617,189560,301,468939.6874,412029.245,8046.62661264555,5900.36638520969,4745.3861273658
"L263",276,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,3237,474932.2158,415009.7405,1360.56118679698,1544.61804495351,4745.3861273658
"L263",334,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,11234,473933.3547,414015.9312,2754.05028764301,894.110477423316,4745.3861273658
"L263",219,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,3185,476929.6398,416003.3162,890.877781236413,3388.9061477397,4745.3861273658
"L263",2198,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,848,449950.8711,382214.3772,42507.330839857,39856.2918659504,4745.3861273658
"L263",279,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,10886,477927.9965,415009.0137,1991.8428216612,3607.07330314175,4745.3861273658
"L263",337,"Malabo",476077.069302354,415744.884840362,3,474656.387942084,413489.949758617,189560,15012,476929.1677,414015.1754,1928.2029009801,2332.67867533397,4745.3861273658
"L263",399,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,574,479924.7709,413020.4433,4714.59322650188,5289.26226480976,4745.3861273658
"L263",335,"Malabo",476077.069302354,415744.884840362,2,474656.387942084,413489.949758617,189560,19485,474931.9596,414015.669,2073.99702337877,593.565884638585,4745.3861273658
"L263",396,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,4531,476928.9325,413021.1053,2853.88259954715,2320.40382133982,4745.3861273658
"L263",277,"Malabo",476077.069302354,415744.884840362,2,474656.387942084,413489.949758617,189560,11034,475930.81,415009.488,749.800170938498,1983.21659148156,4745.3861273658
"L263",2918,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,398,461933.8505,370280.4836,47613.4688742155,45043.5447614628,4745.3861273658
"L263",281,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,551,479925.1808,415008.5805,3917.92115540256,5483.28528423403,4745.3861273658
"L263",454,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,3624,475930.0738,412027.2759,3720.5139310546,1939.50779357447,4745.3861273658
"L263",336,"Malabo",476077.069302354,415744.884840362,1,474656.387942084,413489.949758617,189560,17457,475930.564,414015.4171,1735.66196840584,1378.27448406548,4745.3861273658
"L263",2252,"Malabo",476077.069302354,415744.884840362,2,474656.387942084,413489.949758617,189560,602,444955.6301,381222.7701,46479.2468115882,43855.5116207255,4745.3861273658
"L263",387,"Malabo",476077.069302354,415744.884840362,4,474656.387942084,413489.949758617,189560,204,467941.3839,413023.643,8578.72566992397,6731.17532666764,4745.3861273658
"L266",2693,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,109,472924.2285,374253.4555,7553.32193937983,20221.9609467172,5580.82063063099
"L266",220,"Luba",466272.049012862,370675.581775172,2,454405.650260343,382376.876239581,7178,3384,477928.2225,416003.0837,46802.2308347318,41036.9739739786,5580.82063063099
"L266",2206,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,67,457942.3652,382210.8891,14228.3852738275,3540.60789906178,5580.82063063099
"L266",278,"Luba",466272.049012862,370675.581775172,1,454405.650260343,382376.876239581,7178,13054,476929.4035,415009.2457,45596.6332272909,39650.8637560675,5580.82063063099
