areaId,N1,w_total,Peri,Malabo,Baney,Luba,Riaba,Moka,Ureka,N2.ti_mal,N2.ti_ban,N2.ti_lub,N2.ti_ria,N2.ti_mok,N2.ti_ure,N2.to,t.ti_mal,t.ti_ban,t.ti_lub,t.ti_ria,t.ti_mok,t.ti_ure,t.to,t_mal,to,ti_ban,ti_mal,ti_lub,ti_ria,ti_mok,ti_ure,d.to,d.ti_ban,d.ti_mal,d.ti_lub,d.ti_ria,d.ti_mok,d.ti_ure,d_mal
514,1165,89,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,10.2189569466782,18.2540798543784,78.4024996115789,73.2073062357692,99.39903342,129.8350048,150.218956946678,10.2189569466782,74,2,1,7,4,1,0,238629.513880057,4707.65680543525,3143.49876744886,37798.679455523,33257.466966958,43354.9271836474,56567.432787059,3143.49876744886
519,732,48,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,15.2325651500345,15.6880440895946,83.5447049542105,68.8704067646154,104.541238744,134.9772101,155.232565150034,15.2325651500345,3,6,22,13,4,0,0,242750.890455471,726.801370841683,7264.87534286266,41250.4187129411,34146.0385042695,45278.3519782239,58773.2818894553,7264.87534286266
560,61,1,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,10.391855001954,28.1822229183784,65.1482042021053,73.1111093315384,86.144738008,116.5807094,150.391855001954,10.391855001954,1,0,0,0,0,0,0,247225.706305862,17721.4572600882,11739.691193254,29950.854737005,33451.6575815551,39870.6160231708,51672.7210325507,11739.691193254
564,294,29,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,10.3465769869425,26.3282285745946,71.6803334097368,77.5652175573077,92.67686722,123.1128386,150.346576986943,10.3465769869425,20,0,4,4,1,0,0,243513.088898999,13749.0368766155,8027.0737863911,31742.7932115118,32545.1243886316,40228.1029972679,52591.3453202238,8027.0737863911
571,603,16,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,10.6645439937126,22.1714333726757,78.0944377681579,77.1023764873077,99.090971554,129.5269429,150.664543993713,10.6645439937126,13,0,0,1,1,0,1,239063.35995387,6859.52574221297,3577.34484126172,35747.4783511733,32113.9085827883,41775.9870064113,54866.1516651566,3577.34484126172
573,17,0,0,1,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,12.6400813244138,21.018553417,81.1669731781579,75.9717797961539,102.163506958,132.5994783,152.640081324414,12.6400813244138,0,0,0,0,0,0,0,239485.362261024,4943.44476351182,3999.34714841568,37054.829252974,32269.0875055238,42420.0196369183,55660.5458710437,3999.34714841568
574,80,0,1,0,0,0,0,0,0,189560,27025,6434,2187,680,64,1071785,13.7124007779655,22.1726261385405,82.3210458986842,77.1258525192308,103.317579712,133.7535511,153.712400777966,13.7124007779655,0,0,0,0,0,0,0,240023.109919744,4015.19016903094,4537.09480713548,37731.1822603671,32392.6270199312,42773.39833555,56080.2159095846,4537.09480713548
582,195,1,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,18.1134278328161,12.8824395188919,86.2836462868421,61.8817638961539,105.467772538,137.8431781,158.113427832816,18.1134278328161,0,0,1,0,0,0,0,246848.703462384,4625.80668267065,11362.6883497762,43590.363690998,34424.0664333995,46284.3498800003,59933.1742589875,11362.6883497762
586,61,7,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,23.4456562478161,13.6178193494865,90.7900626721053,59.8475940157692,103.433602648,143.1754065,163.445656247816,23.4456562478161,1,0,3,2,1,0,0,250692.628303994,8479.68061728074,15206.6131913858,46757.256423691,36066.1666234294,48440.3584754375,62156.0653005851,15206.6131913858
587,9,0,0,0,1,0,0,0,0,189560,27025,6434,2187,680,64,1071785,22.9840271416092,13.8344566376757,90.4830614978947,60.3092379869231,103.895246632,142.7137774,162.984027141609,22.9840271416092,0,0,0,0,0,0,0,251665.010256209,9461.39596255224,16178.9951436013,47568.4672618027,36533.4693929999,49015.4417872629,62739.2472454153,16178.9951436013
